sim/none/none                                      Do nothing at all!
sim/fuel/fuel_pump_6_prime                         Fuel pump PRIME for engine #6 on.
sim/fuel/fuel_pump_7_prime                         Fuel pump PRIME for engine #7 on.
sim/fuel/fuel_pump_8_prime                         Fuel pump PRIME for engine #8 on.
sim/electrical/cross_tie_on                        Cross-tie on.
sim/electrical/cross_tie_off                       Cross-tie off.
sim/electrical/cross_tie_toggle                    Cross-tie toggle.
sim/electrical/inverters_on                        Inverters on.
sim/electrical/inverters_off                       Inverters off.
sim/electrical/inverters_toggle                    Inverters toggle.
sim/electrical/inverter_1_on                       Inverter_1 on.
sim/electrical/inverter_1_off                      Inverter_1 off.
sim/electrical/inverter_1_toggle                   Inverter_1 toggle.
sim/electrical/inverter_2_on                       Inverter_2 on.
sim/electrical/inverter_2_off                      Inverter_2 off.
sim/electrical/inverter_2_toggle                   Inverter_2 toggle.
sim/electrical/battery_1_on                        Battery 1 on.
sim/electrical/battery_1_off                       Battery 1 off.
sim/electrical/battery_2_on                        Battery 2 on.
sim/electrical/battery_2_off                       Battery 2 off.
sim/electrical/batteries_toggle                    Batteries all toggle.
sim/electrical/generators_toggle                   Generators all toggle.
sim/electrical/APU_start                           APU start.
sim/electrical/APU_on                              APU on.
sim/electrical/APU_off                             APU off.
sim/electrical/APU_generator_on                    APU generator on.
sim/electrical/APU_generator_off                   APU generator off.
sim/electrical/GPU_on                              GPU on.
sim/electrical/GPU_off                             GPU off.
sim/electrical/GPU_toggle                          GPU toggle.
sim/lights/nav_lights_on                           Nav lights on.
sim/lights/nav_lights_off                          Nav lights off.
sim/lights/nav_lights_toggle                       Nav lights toggle.
sim/lights/beacon_lights_on                        Beacon lights on.
sim/lights/beacon_lights_off                       Beacon lights off.
sim/lights/beacon_lights_toggle                    Beacon lights toggle.
sim/lights/strobe_lights_on                        Strobe lights on.
sim/lights/strobe_lights_off                       Strobe lights off.
sim/lights/strobe_lights_toggle                    Strobe lights toggle.
sim/lights/taxi_lights_on                          Taxi lights on.
sim/lights/taxi_lights_off                         Taxi lights off.
sim/lights/taxi_lights_toggle                      Taxi lights toggle.
sim/lights/landing_lights_on                       Landing lights on.
sim/lights/landing_lights_off                      Landing lights off.
sim/lights/landing_lights_toggle                   Landing lights toggle.
sim/lights/spot_lights_on                          Spot lights on.
sim/lights/spot_lights_off                         Spot lights off.
sim/lights/spot_lights_toggle                      Spot lights toggle.
sim/systems/avionics_on                            Avionics on.
sim/systems/avionics_off                           Avionics off.
sim/systems/avionics_toggle                        Avionics toggle.
sim/bleed_air/bleed_air_down                       Bleed air mode down.
sim/bleed_air/bleed_air_up                         Bleed air mode up.
sim/bleed_air/bleed_air_apu                        Bleed air from apu.
sim/bleed_air/bleed_air_left                       Bleed air from left engine.
sim/bleed_air/bleed_air_auto                       Bleed air from either engine.
sim/bleed_air/bleed_air_right                      Bleed air from right engine.
sim/bleed_air/bleed_air_off                        Bleed air off.
sim/bleed_air/bleed_air_left_on                    Bleed air left-engine on.
sim/bleed_air/bleed_air_left_ins_only              Bleed air left-engine instruments only.
sim/bleed_air/bleed_air_left_off                   Bleed air left-engine off.
sim/bleed_air/bleed_air_right_on                   Bleed air right-engine on.
sim/bleed_air/bleed_air_right_ins_only             Bleed air right-engine instruments only.
sim/bleed_air/bleed_air_right_off                  Bleed air right-engine off.
sim/pressurization/test                            Pressurization test.
sim/pressurization/dump_on                         Dump pressurization on!
sim/pressurization/dump_off                        Dump pressurization off!
sim/pressurization/vvi_down                        Cabin vertical speed down.
sim/pressurization/vvi_up                          Cabin vertical speed up.
sim/pressurization/cabin_alt_down                  Cabin altitude down.
sim/pressurization/cabin_alt_up                    Cabin altitude up.
sim/ice/anti_ice_toggle                            Anti-ice: toggle-ALL.
sim/ice/alternate_static_port                      Toggle alternate static port.
sim/ice/pitot_heat0_on                             Anti-ice: LEFT pitot heat on.
sim/ice/pitot_heat0_off                            Anti-ice: LEFT pitot heat off.
sim/ice/pitot_heat0_tog                            Anti-ice: LEFT pitot heat toggle.
sim/ice/pitot_heat1_on                             Anti-ice: RIGT pitot heat on.
sim/ice/pitot_heat1_off                            Anti-ice: RIGT pitot heat off.
sim/ice/pitot_heat1_tog                            Anti-ice: RIGT pitot heat toggle.
sim/ice/static_heat0_on                            Anti-ice: LEFT static heat on.
sim/ice/static_heat0_off                           Anti-ice: LEFT static heat off.
sim/ice/static_heat1_on                            Anti-ice: RIGT static heat on.
sim/ice/static_heat1_off                           Anti-ice: RIGT static heat off.
sim/ice/AOA_heat0_on                               Anti-ice: AOA on.
sim/ice/AOA_heat0_off                              Anti-ice: AOA off.
sim/ice/AOA_heat1_on                               Anti-ice: AOA on.
sim/ice/AOA_heat1_off                              Anti-ice: AOA off.
sim/ice/window_heat_on                             Anti-ice: window heat on.
sim/ice/window_heat_off                            Anti-ice: window heat off.
sim/ice/wing_heat0_on                              Anti-ice: LEFT wing-de-ice on.
sim/ice/wing_heat0_off                             Anti-ice: LEFT wing-de-ice off.
sim/ice/wing_heat1_on                              Anti-ice: RIGT wing-de-ice on.
sim/ice/wing_heat1_off                             Anti-ice: RIGT wing-de-ice off.
sim/ice/wing_heat_on                               Anti-ice: all wing-de-ice on.
sim/ice/wing_heat_off                              Anti-ice: all wing-de-ice off.
sim/ice/inlet_heat0_on                             Anti-ice: engine #1 inlet-heat on.
sim/ice/inlet_heat0_off                            Anti-ice: engine #1 inlet-heat off.
sim/ice/inlet_heat1_on                             Anti-ice: engine #2 inlet-heat on.
sim/ice/inlet_heat1_off                            Anti-ice: engine #2 inlet-heat off.
sim/ice/inlet_heat2_on                             Anti-ice: engine #3 inlet-heat on.
sim/ice/inlet_heat2_off                            Anti-ice: engine #3 inlet-heat off.
sim/ice/inlet_heat3_on                             Anti-ice: engine #4 inlet-heat on.
sim/ice/inlet_heat3_off                            Anti-ice: engine #4 inlet-heat off.
sim/ice/inlet_heat4_on                             Anti-ice: engine #5 inlet-heat on.
sim/ice/inlet_heat4_off                            Anti-ice: engine #5 inlet-heat off.
sim/ice/inlet_heat5_on                             Anti-ice: engine #6 inlet-heat on.
sim/ice/inlet_heat5_off                            Anti-ice: engine #6 inlet-heat off.
sim/ice/inlet_heat6_on                             Anti-ice: engine #7 inlet-heat on.
sim/ice/inlet_heat6_off                            Anti-ice: engine #7 inlet-heat off.
sim/ice/inlet_heat7_on                             Anti-ice: engine #8 inlet-heat on.
sim/ice/inlet_heat7_off                            Anti-ice: engine #8 inlet-heat off.
sim/ice/prop_heat0_on                              Anti-ice: engine #1 prop heat on.
sim/ice/prop_heat0_off                             Anti-ice: engine #1 prop heat off.
sim/ice/prop_heat1_on                              Anti-ice: engine #2 prop heat on.
sim/ice/prop_heat1_off                             Anti-ice: engine #2 prop heat off.
sim/ice/prop_heat2_on                              Anti-ice: engine #3 prop heat on.
sim/ice/prop_heat2_off                             Anti-ice: engine #3 prop heat off.
sim/ice/prop_heat3_on                              Anti-ice: engine #4 prop heat on.
sim/ice/prop_heat3_off                             Anti-ice: engine #4 prop heat off.
sim/ice/prop_heat4_on                              Anti-ice: engine #5 prop heat on.
sim/ice/prop_heat4_off                             Anti-ice: engine #5 prop heat off.
sim/ice/prop_heat5_on                              Anti-ice: engine #6 prop heat on.
sim/ice/prop_heat5_off                             Anti-ice: engine #6 prop heat off.
sim/ice/prop_heat6_on                              Anti-ice: engine #7 prop heat on.
sim/ice/prop_heat6_off                             Anti-ice: engine #7 prop heat off.
sim/ice/prop_heat7_on                              Anti-ice: engine #8 prop heat on.
sim/ice/prop_heat7_off                             Anti-ice: engine #8 prop heat off.
sim/ice/prop_heat_on                               Anti-ice: all prop heat on.
sim/ice/prop_heat_off                              Anti-ice: all prop heat off.
sim/ice/detect_on                                  Anti-ice: ice-detection on.
sim/ice/detect_off                                 Anti-ice: ice-detection off.
sim/flight_controls/parachute_flares               Deploy parachute-flares.
sim/flight_controls/smoke_toggle                   Toggle smoke-puffing.
sim/flight_controls/water_scoop_toggle             Toggle water scoop.
sim/flight_controls/ignite_jato                    Ignite JATO.
sim/flight_controls/jettison_payload               Jettison the payload.
sim/flight_controls/dump_fuel_toggle               Dump fuel!
sim/flight_controls/deploy_parachute               Deploy/jettison chute!
sim/flight_controls/eject                          Eject!
sim/weapons/re_arm_aircraft                        Re-arm aircraft to default specs.
sim/weapons/master_arm_on                          Master Arm. Hit this for master arm ON.
sim/weapons/master_arm_off                         Master Arm. Hit this for master arm OFF.
sim/weapons/fire_mode_down                         Weapon single/pair/ripple/salvo dn.
sim/weapons/fire_mode_up                           Weapon single/pair/ripple/salvo up.
sim/weapons/fire_rate_down                         Weapon fire rate down.
sim/weapons/fire_rate_up                           Weapon fire rate up.
sim/weapons/weapon_select_down                     Weapon select down.
sim/weapons/weapon_select_up                       Weapon select up.
sim/weapons/fire_guns                              Fire guns!
sim/weapons/fire_air_to_air                        Fire air-air selection!
sim/weapons/fire_air_to_ground                     Fire air-ground selection!
sim/weapons/fire_any_armed                         Fire all armed selections!
sim/weapons/GPS_lock_here                          Target camera pointer in GPS.
sim/weapons/weapon_target_down                     Target select down.
sim/weapons/weapon_target_up                       Target select up.
sim/weapons/deploy_chaff                           Deploy chaff.
sim/weapons/deploy_flares                          Deploy flares.
sim/operation/quick_start                          Quick-start to engines running
sim/operation/fix_all_systems                      Fix all failed systems.
sim/operation/prev_livery                          Load previous livery.
sim/operation/next_livery                          Load next livery.
sim/systems/seatbelt_sign_toggle                   Toggle seatbelt sign.
sim/systems/no_smoking_toggle                      Toggle smoking sign.
sim/systems/wipers_dn                              Windshield wipers down.
sim/systems/wipers_up                              Windshield wipers up.
sim/flight_controls/door_open_1                    Door 1 open.
sim/flight_controls/door_open_2                    Door 2 open.
sim/flight_controls/door_open_3                    Door 3 open.
sim/flight_controls/door_open_4                    Door 4 open.
sim/flight_controls/door_open_5                    Door 5 open.
sim/flight_controls/door_open_6                    Door 6 open.
sim/flight_controls/door_open_7                    Door 7 open.
sim/flight_controls/door_open_8                    Door 8 open.
sim/flight_controls/door_open_9                    Door 9 open.
sim/flight_controls/door_open_10                   Door 10 open..
sim/flight_controls/door_close_1                   Door 1 close.
sim/flight_controls/door_close_2                   Door 2 close.
sim/flight_controls/door_close_3                   Door 3 close.
sim/flight_controls/door_close_4                   Door 4 close.
sim/flight_controls/door_close_5                   Door 5 close.
sim/flight_controls/door_close_6                   Door 6 close.
sim/flight_controls/door_close_7                   Door 7 close.
sim/flight_controls/door_close_8                   Door 8 close.
sim/flight_controls/door_close_9                   Door 9 close.
sim/flight_controls/door_close_10                  Door 10 close.
sim/flight_controls/drop_tank                      Drop all drop-tanks.
sim/lights/spot_light_left                         Aim spot-light left.
sim/lights/spot_light_right                        Aim spot-light right.
sim/lights/spot_light_up                           Aim spot-light up.
sim/lights/spot_light_down                         Aim spot-light down.
sim/lights/spot_light_center                       Aim spot-light to center.
sim/general/action                                 General simulator command: action.
sim/flight_controls/glider_tow_release             Release tow-plane cable for gliders.
sim/flight_controls/winch_release                  Release winch (for gliders).
sim/flight_controls/glider_all_release             Release tow-plane and winch for gliders.
sim/flight_controls/engage_cat_shot                Engage catapault.
sim/flight_controls/glider_tow_left                Tow-plane for gliders: Take me left.
sim/flight_controls/glider_tow_straight            Tow-plane for gliders: Take me straight.
sim/flight_controls/glider_tow_right               Tow-plane for gliders: Take me right.
sim/radios/power_nav1_off                          Power nav1 off.
sim/radios/power_nav1_on                           Power nav1 on.
sim/radios/power_nav2_off                          Power nav2 off.
sim/radios/power_nav2_on                           Power nav2 on.
sim/radios/power_com1_off                          Power com1 off.
sim/radios/power_com1_on                           Power com1 on.
sim/radios/power_com2_off                          Power com2 off.
sim/radios/power_com2_on                           Power com2 on.
sim/radios/power_adf1_dn                           Power adf1 dn.
sim/radios/power_adf1_up                           Power adf1 up.
sim/radios/power_adf2_dn                           Power adf2 dn.
sim/radios/power_adf2_up                           Power adf2 up.
sim/radios/adf1_power_mode_0                       ADF 1 off.
sim/radios/adf1_power_mode_1                       ADF 1 antenna.
sim/radios/adf1_power_mode_2                       ADF 1 on.
sim/radios/adf1_power_mode_3                       ADF 1 tone.
sim/radios/adf1_power_mode_4                       ADF 1 test.
sim/radios/adf2_power_mode_0                       ADF 2 off.
sim/radios/adf2_power_mode_1                       ADF 2 antenna.
sim/radios/adf2_power_mode_2                       ADF 2 on.
sim/radios/adf2_power_mode_3                       ADF 2 tone.
sim/radios/adf2_power_mode_4                       ADF 2 test.
sim/radios/actv_com1_coarse_down                   COM 1 coarse down.
sim/radios/actv_com1_coarse_up                     COM 1 coarse up.
sim/radios/actv_com1_fine_down                     COM 1 fine down (25kHz).
sim/radios/actv_com1_fine_up                       COM 1 fine up (25kHz).
sim/radios/actv_com1_fine_down_833                 COM 1 fine down (8.33 kHz).
sim/radios/actv_com1_fine_up_833                   COM 1 fine up (8.33 kHz).
sim/radios/stby_com1_coarse_down                   COM 1 standby coarse down.
sim/radios/stby_com1_coarse_up                     COM 1 standby coarse up.
sim/radios/stby_com1_fine_down                     COM 1 standby fine down (25kHz).
sim/radios/stby_com1_fine_up                       COM 1 standby fine up (25kHz).
sim/radios/stby_com1_fine_down_833                 COM 1 standby fine down (8.33kHz).
sim/radios/stby_com1_fine_up_833                   COM 1 standby fine up (8.33kHz).
sim/radios/actv_com2_coarse_down                   COM 2 coarse down.
sim/radios/actv_com2_coarse_up                     COM 2 coarse up.
sim/radios/actv_com2_fine_down                     COM 2 fine down (25kHz).
sim/radios/actv_com2_fine_up                       COM 2 fine up (25kHz).
sim/radios/actv_com2_fine_down_833                 COM 2 fine down (8.33kHz).
sim/radios/actv_com2_fine_up_833                   COM 2 fine up (8.33kHz).
sim/radios/stby_com2_coarse_down                   COM 2 standby coarse down.
sim/radios/stby_com2_coarse_up                     COM 2 standby coarse up.
sim/radios/stby_com2_fine_down                     COM 2 standby fine down (25kHz).
sim/radios/stby_com2_fine_up                       COM 2 standby fine up (25kHz).
sim/radios/stby_com2_fine_down_833                 COM 2 standby fine down (8.33kHz).
sim/radios/stby_com2_fine_up_833                   COM 2 standby fine up (8.33kHz).
sim/radios/actv_nav1_coarse_down                   NAV 1 coarse down.
sim/radios/actv_nav1_coarse_up                     NAV 1 coarse up.
sim/radios/actv_nav1_fine_down                     NAV 1 fine down.
sim/radios/actv_nav1_fine_up                       NAV 1 fine up.
sim/radios/stby_nav1_coarse_down                   NAV 1 standby coarse down.
sim/radios/stby_nav1_coarse_up                     NAV 1 standby coarse up.
sim/radios/stby_nav1_fine_down                     NAV 1 standby fine down.
sim/radios/stby_nav1_fine_up                       NAV 1 standby fine up.
sim/radios/actv_nav2_coarse_down                   NAV 2 coarse down.
sim/radios/actv_nav2_coarse_up                     NAV 2 coarse up.
sim/radios/actv_nav2_fine_down                     NAV 2 fine down.
sim/radios/actv_nav2_fine_up                       NAV 2 fine up.
sim/radios/stby_nav2_coarse_down                   NAV 2 standby coarse down.
sim/radios/stby_nav2_coarse_up                     NAV 2 standby coarse up.
sim/radios/stby_nav2_fine_down                     NAV 2 standby fine down.
sim/radios/stby_nav2_fine_up                       NAV 2 standby fine up.
sim/radios/actv_dme_coarse_down                    DME coarse down.
sim/radios/actv_dme_coarse_up                      DME coarse up.
sim/radios/actv_dme_fine_down                      DME fine down.
sim/radios/actv_dme_fine_up                        DME fine up.
sim/radios/stby_dme_coarse_down                    DME standby coarse down.
sim/radios/stby_dme_coarse_up                      DME standby coarse up.
sim/radios/stby_dme_fine_down                      DME standby fine down.
sim/radios/stby_dme_fine_up                        DME standby fine up.
sim/radios/actv_adf1_hundreds_down                 ADF 1 hundreds down.
sim/radios/actv_adf1_hundreds_up                   ADF 1 hundreds up.
sim/radios/actv_adf1_tens_down                     ADF 1 tens down.
sim/radios/actv_adf1_tens_up                       ADF 1 tens up.
sim/radios/actv_adf1_ones_down                     ADF 1 ones down.
sim/radios/actv_adf1_ones_up                       ADF 1 ones up.
sim/radios/actv_adf1_ones_tens_down                ADF 1 ones and tens down.
sim/radios/actv_adf1_ones_tens_up                  ADF 1 ones and tens up.
sim/radios/actv_adf1_hundreds_thous_down           ADF 1 hundreds and thousands down.
sim/radios/actv_adf1_hundreds_thous_up             ADF 1 hundreds and thousands up.
sim/radios/stby_adf1_hundreds_down                 ADF 1 hundreds down.
sim/radios/stby_adf1_hundreds_up                   ADF 1 hundreds up.
sim/radios/stby_adf1_tens_down                     ADF 1 tens down.
sim/radios/stby_adf1_tens_up                       ADF 1 tens up.
sim/radios/stby_adf1_ones_down                     ADF 1 ones down.
sim/radios/stby_adf1_ones_up                       ADF 1 ones up.
sim/radios/stby_adf1_ones_tens_down                ADF 1 ones and tens down.
sim/radios/stby_adf1_ones_tens_up                  ADF 1 ones and tens up.
sim/radios/stby_adf1_hundreds_thous_down           ADF 1 hundreds and thousands down.
sim/radios/stby_adf1_hundreds_thous_up             ADF 1 hundreds and thousands up.
sim/radios/actv_adf2_hundreds_down                 ADF 2 hundreds down.
sim/radios/actv_adf2_hundreds_up                   ADF 2 hundreds up.
sim/radios/actv_adf2_tens_down                     ADF 2 tens down.
sim/radios/actv_adf2_tens_up                       ADF 2 tens up.
sim/radios/actv_adf2_ones_down                     ADF 2 ones down.
sim/radios/actv_adf2_ones_up                       ADF 2 ones up.
sim/radios/actv_adf2_ones_tens_down                ADF 2 ones and tens down.
sim/radios/actv_adf2_ones_tens_up                  ADF 2 ones and tens up.
sim/radios/actv_adf2_hundreds_thous_down           ADF 2 hundreds and thousands down.
sim/radios/actv_adf2_hundreds_thous_up             ADF 2 hundreds and thousands up.
sim/radios/stby_adf2_hundreds_down                 ADF 2 hundreds down.
sim/radios/stby_adf2_hundreds_up                   ADF 2 hundreds up.
sim/radios/stby_adf2_tens_down                     ADF 2 tens down.
sim/radios/stby_adf2_tens_up                       ADF 2 tens up.
sim/radios/stby_adf2_ones_down                     ADF 2 ones down.
sim/radios/stby_adf2_ones_up                       ADF 2 ones up.
sim/radios/stby_adf2_ones_tens_down                ADF 2 ones and tens down.
sim/radios/stby_adf2_ones_tens_up                  ADF 2 ones and tens up.
sim/radios/stby_adf2_hundreds_thous_down           ADF 2 hundreds and thousands down.
sim/radios/stby_adf2_hundreds_thous_up             ADF 2 hundreds and thousands up.
sim/transponder/transponder_digit_0                Transponder digit to 0.
sim/transponder/transponder_digit_1                Transponder digit to 1.
sim/transponder/transponder_digit_2                Transponder digit to 2.
sim/transponder/transponder_digit_3                Transponder digit to 3.
sim/transponder/transponder_digit_4                Transponder digit to 4.
sim/transponder/transponder_digit_5                Transponder digit to 5.
sim/transponder/transponder_digit_6                Transponder digit to 6.
sim/transponder/transponder_digit_7                Transponder digit to 7.
sim/transponder/transponder_CLR                    Transponder reset to first digit.
sim/transponder/transponder_thousands_down         Transponder thousands down.
sim/transponder/transponder_thousands_up           Transponder thousands up.
sim/transponder/transponder_hundreds_down          Transponder hundreds down.
sim/transponder/transponder_hundreds_up            Transponder hundreds up.
sim/transponder/transponder_tens_down              Transponder tens down.
sim/transponder/transponder_tens_up                Transponder tens up.
sim/transponder/transponder_ones_down              Transponder ones down.
sim/transponder/transponder_ones_up                Transponder ones up.
sim/transponder/transponder_12_down                Transponder digits 1 and 2 down.
sim/transponder/transponder_12_up                  Transponder digits 1 and 2 up.
sim/transponder/transponder_34_down                Transponder digits 3 and 4 down.
sim/transponder/transponder_34_up                  Transponder digits 3 and 4 up.
sim/audio_panel/transmit_audio_com1                Transmit audio: COM1.
sim/audio_panel/transmit_audio_com2                Transmit audio: COM2.
sim/audio_panel/monitor_audio_com1                 Monitor audio: COM1.
sim/audio_panel/monitor_audio_com2                 Monitor audio: COM2.
sim/audio_panel/monitor_audio_nav1                 Monitor audio: NAV1.
sim/audio_panel/monitor_audio_nav2                 Monitor audio: NAV2.
sim/audio_panel/monitor_audio_adf1                 Monitor audio: ADF2.
sim/audio_panel/monitor_audio_adf2                 Monitor audio: ADF2.
sim/audio_panel/monitor_audio_dme                  Monitor audio: DME.
sim/audio_panel/monitor_audio_mkr                  Monitor audio: MKR.
sim/transponder/transponder_ident                  Transponder ID.
sim/transponder/transponder_off                    Transponder off.
sim/transponder/transponder_standby                Transponder standby.
sim/transponder/transponder_on                     Transponder on.
sim/transponder/transponder_alt                    Transponder alt.
sim/transponder/transponder_test                   Transponder test.
sim/transponder/transponder_ground                 Transponder ground.
sim/transponder/transponder_dn                     Transponder mode down.
sim/transponder/transponder_up                     Transponder mode up.
sim/radios/nav1_standy_flip                        NAV 1 flip standby.
sim/radios/nav2_standy_flip                        NAV 2 flip standby.
sim/radios/com1_standy_flip                        COM 1 flip standby.
sim/radios/com2_standy_flip                        COM 2 flip standby.
sim/radios/adf1_standy_flip                        ADF 1 flip standby.
sim/radios/adf2_standy_flip                        ADF 2 flip standby.
sim/radios/dme_standby_flip                        DME flip standby.
sim/radios/RMI_L_tog                               RMI left NAV toggle VOR/NDB.
sim/radios/RMI_R_tog                               RMI right NAV toggle VOR/NDB.
sim/radios/copilot_RMI_L_tog_cop                   Copilot RMI left NAV toggle VOR/NDB.
sim/radios/copilot_RMI_R_tog_cop                   Copilot RMI right NAV toggle VOR/NDB.
sim/instruments/ECAM_mode_up                       ECAM mode up.
sim/instruments/ECAM_mode_down                     ECAM mode down.
sim/instruments/map_zoom_in                        Zoom in EFIS map.
sim/instruments/map_zoom_out                       Zoom out EFIS map.
sim/instruments/EFIS_wxr                           EFIS map EFIS_wxr.
sim/instruments/EFIS_tcas                          EFIS map EFIS_tcas.
sim/instruments/EFIS_apt                           EFIS map EFIS_apt.
sim/instruments/EFIS_fix                           EFIS map EFIS_fix.
sim/instruments/EFIS_vor                           EFIS map EFIS_vor.
sim/instruments/EFIS_ndb                           EFIS map EFIS_ndb.
sim/instruments/EFIS_page_up                       EFIS page UP
sim/instruments/EFIS_page_dn                       EFIS page DOWN.
sim/instruments/EFIS_mode_up                       EFIS mode UP APP->VOR->MAP->PLN
sim/instruments/EFIS_mode_dn                       EFIS mode DOWN PLN->MAP->VOR->APP
sim/instruments/EFIS_1_pilot_sel_dn                EFIS 1 selection pilot down ADF-OFF-VOR
sim/instruments/EFIS_1_pilot_sel_up                EFIS 1 selection pilot up ADF-OFF-VOR
sim/instruments/EFIS_1_copilot_sel_dn              EFIS 1 selection copilot down ADF-OFF-VOR
sim/instruments/EFIS_1_copilot_sel_up              EFIS 1 selection copilot up ADF-OFF-VOR
sim/instruments/EFIS_2_pilot_sel_dn                EFIS 2 selection pilot down ADF-OFF-VOR
sim/instruments/EFIS_2_pilot_sel_up                EFIS 2 selection pilot up ADF-OFF-VOR
sim/instruments/EFIS_2_copilot_sel_dn              EFIS 2 selection copilot down ADF-OFF-VOR
sim/instruments/EFIS_2_copilot_sel_up              EFIS 2 selection copilot up ADF-OFF-VOR
sim/radios/obs1_down                               OBS 1 down.
sim/radios/obs1_up                                 OBS 1 up.
sim/radios/obs2_down                               OBS 2 down.
sim/radios/obs2_up                                 OBS 2 up.
sim/radios/obs_HSI_down                            OBS HSI down.
sim/radios/obs_HSI_up                              OBS HSI up.
sim/radios/adf1_card_down                          ADF card 1 down.
sim/radios/adf1_card_up                            ADF card 1 up.
sim/radios/adf2_card_down                          ADF card 2 down.
sim/radios/adf2_card_up                            ADF card 2 up.
sim/radios/copilot_obs1_down                       Copilot OBS 1 down.
sim/radios/copilot_obs1_up                         Copilot OBS 1 up.
sim/radios/copilot_obs2_down                       Copilot OBS 2 down.
sim/radios/copilot_obs2_up                         Copilot OBS 2 up.
sim/radios/copilot_obs_HSI_down                    Copilot OBS HSI down.
sim/radios/copilot_obs_HSI_up                      Copilot OBS HSI up.
sim/radios/copilot_adf1_card_down                  Copilot ADF card 1 down.
sim/radios/copilot_adf1_card_up                    Copilot ADF card 1 up.
sim/radios/copilot_adf2_card_down                  Copilot ADF card 2 down.
sim/radios/copilot_adf2_card_up                    Copilot ADF card 2 up.
sim/autopilot/hsi_select_down                      HSI select down one.
sim/autopilot/hsi_select_up                        HSI select up one.
sim/autopilot/hsi_select_nav_1                     HSI shows nav 1.
sim/autopilot/hsi_select_nav_2                     HSI shows nav 2.
sim/autopilot/hsi_select_gps                       HSI shows GPS.
sim/autopilot/hsi_select_copilot_down              HSI select down one, copilot.
sim/autopilot/hsi_select_copilot_up                HSI select up one, copilot.
sim/autopilot/hsi_select_copilot_nav_1             HSI shows nav 1, copilot.
sim/autopilot/hsi_select_copilot_nav_2             HSI shows nav 2, copilot.
sim/autopilot/hsi_select_copilot_gps               HSI shows GPS, copilot.
sim/flight_controls/carrier_ILS                    Set the radios for the Carrier ILS.
sim/autopilot/source_01                            Autopilot pitot static source, 0 or 1
sim/autopilot/fdir_on                              Flight director on.
sim/autopilot/fdir_toggle                          Flight director toggle.
sim/autopilot/servos_on                            Servos on.
sim/autopilot/servos_toggle                        Servos toggle.
sim/autopilot/fdir_servos_down_one                 Flight-Dir down (on-fdir-off).
sim/autopilot/fdir_servos_up_one                   Flight-Dir up (off-fdir-on).
sim/autopilot/servos_fdir_off                      Disco servos, flt dir.
sim/autopilot/servos_fdir_yawd_off                 Disco servos, flt dir, yawdamp.
sim/autopilot/servos_fdir_yawd_trim_off            Disco servos, flt dir, yawdamp, trim.
sim/autopilot/control_wheel_steer                  Control-wheel steer.
sim/autopilot/autothrottle_on                      Autopilot auto-throttle on.
sim/autopilot/autothrottle_off                     Autopilot auto-throttle off.
sim/autopilot/autothrottle_toggle                  Autopilot auto-throttle toggle.
sim/autopilot/heading                              Autopilot heading-hold.
sim/autopilot/wing_leveler                         Autopilot wing-level.
sim/autopilot/NAV                                  Autopilot VOR/LOC arm.
sim/autopilot/vertical_speed                       Autopilot vertical speed, at current VSI.
sim/autopilot/vertical_speed_pre_sel               Autopilot vertical speed, at pre-sel VSI.
sim/autopilot/pitch_sync                           Autopilot pitch-sync.
sim/autopilot/level_change                         Autopilot level change.
sim/autopilot/altitude_hold                        Autopilot altitude select or hold.
sim/autopilot/terrain_following                    Autopilot terrain-mode following.
sim/autopilot/take_off_go_around                   Autopilot take-off go-around.
sim/autopilot/reentry                              Autopilot re-entry.
sim/autopilot/glide_slope                          Autopilot glideslope.
sim/autopilot/vnav                                 Autopilot VNAV for G1000.
sim/autopilot/airspeed_sync                        Autopilot airspeed sync.
sim/autopilot/heading_sync                         Autopilot heading sync.
sim/autopilot/vertical_speed_sync                  Autopilot VVI sync.
sim/autopilot/altitude_sync                        Autopilot altitude sync.
sim/autopilot/heading_down                         Autopilot heading down.
sim/autopilot/heading_up                           Autopilot heading up.
sim/autopilot/heading_copilot_down                 Autopilot heading copilot down.
sim/autopilot/heading_copilot_up                   Autopilot heading copilot up.
sim/autopilot/airspeed_down                        Autopilot airspeed down.
sim/autopilot/airspeed_up                          Autopilot airspeed up.
sim/autopilot/vertical_speed_down                  Autopilot VVI down.
sim/autopilot/vertical_speed_up                    Autopilot VVI up.
sim/autopilot/altitude_down                        Autopilot altitude down.
sim/autopilot/altitude_up                          Autopilot altitude up.
sim/autopilot/nose_down                            Autopilot nose down.
sim/autopilot/nose_up                              Autopilot nose up.
sim/autopilot/nose_down_pitch_mode                 Autopilot nose down, go into pitch mode.
sim/autopilot/nose_up_pitch_mode                   Autopilot nose up, go into pitch mode
sim/autopilot/override_left                        Autopilot override left: Go to ROL mode.
sim/autopilot/override_right                       Autopilot override right: Go to ROL mode.
sim/autopilot/override_up                          Autopilot override up: Go to SYN mode.
sim/autopilot/override_down                        Autopilot override down: Go to SYN mode.
sim/autopilot/altitude_arm                         Autopilot altitude-hold ARM.
sim/autopilot/approach                             Autopilot approach.
sim/autopilot/back_course                          Autopilot back-course.
sim/autopilot/knots_mach_toggle                    Toggle knots-Mach airspeeed hold.
sim/autopilot/FMS                                  Autopilot FMS altitude.
sim/autopilot/bank_limit_down                      Bank angle limit down.
